,89,62,67,94,70,33,38,45,8,51,1,10,86,68,52,40,91,2,54,20,48,14,72,36,12,83,56,60,4,31,37,15,64,17,77,96,74,92,46,75,82,11,26,49,66,19,30,95,84,34,42,58,87,80,93,22,25,44,79,35,27,24,6
name,An Giang,Kon Tum,Đắk Nông,Sóc Trăng,Bình Phước,Hưng Yên,Thanh Hóa,Quảng Trị,Tuyên Quang,Quảng Ngãi,Hà Nội,Lào Cai,Vĩnh Long,Lâm Đồng,Bình Định,Nghệ An,Kiên Giang,Hà Giang,Phú Yên,Lạng Sơn,Đà Nẵng,Sơn La,Tây Ninh,Nam Định,Lai Châu,Bến Tre,Khánh Hòa,Bình Thuận,Cao Bằng,Hải Phòng,Ninh Bình,Yên Bái,Gia Lai,Hoà Bình,Bà Rịa - Vũng Tàu,Cà Mau,Bình Dương,Cần Thơ,Thừa Thiên Huế,Đồng Nai,Tiền Giang,Điện Biên,Vĩnh Phúc,Quảng Nam,Đắk Lắk,Thái Nguyên,Hải Dương,Bạc Liêu,Trà Vinh,Thái Bình,Hà Tĩnh,Ninh Thuận,Đồng Tháp,Long An,Hậu Giang,Quảng Ninh,Phú Thọ,Quảng Bình,Hồ Chí Minh,Hà Nam,Bắc Ninh,Bắc Giang,Bắc Kạn
slug,an-giang,kon-tum,dak-nong,soc-trang,binh-phuoc,hung-yen,thanh-hoa,quang-tri,tuyen-quang,quang-ngai,ha-noi,lao-cai,vinh-long,lam-dong,binh-dinh,nghe-an,kien-giang,ha-giang,phu-yen,lang-son,da-nang,son-la,tay-ninh,nam-dinh,lai-chau,ben-tre,khanh-hoa,binh-thuan,cao-bang,hai-phong,ninh-binh,yen-bai,gia-lai,hoa-binh,ba-ria-vung-tau,ca-mau,binh-duong,can-tho,thua-thien-hue,dong-nai,tien-giang,dien-bien,vinh-phuc,quang-nam,dak-lak,thai-nguyen,hai-duong,bac-lieu,tra-vinh,thai-binh,ha-tinh,ninh-thuan,dong-thap,long-an,hau-giang,quang-ninh,phu-tho,quang-binh,ho-chi-minh,ha-nam,bac-ninh,bac-giang,bac-kan
type,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,thanh-pho,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,thanh-pho,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,thanh-pho,tinh,tinh,tinh,tinh,tinh,tinh,tinh,thanh-pho,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,tinh,thanh-pho,tinh,tinh,tinh,tinh
name_with_type,Tỉnh An Giang,Tỉnh Kon Tum,Tỉnh Đắk Nông,Tỉnh Sóc Trăng,Tỉnh Bình Phước,Tỉnh Hưng Yên,Tỉnh Thanh Hóa,Tỉnh Quảng Trị,Tỉnh Tuyên Quang,Tỉnh Quảng Ngãi,Thành phố Hà Nội,Tỉnh Lào Cai,Tỉnh Vĩnh Long,Tỉnh Lâm Đồng,Tỉnh Bình Định,Tỉnh Nghệ An,Tỉnh Kiên Giang,Tỉnh Hà Giang,Tỉnh Phú Yên,Tỉnh Lạng Sơn,Thành phố Đà Nẵng,Tỉnh Sơn La,Tỉnh Tây Ninh,Tỉnh Nam Định,Tỉnh Lai Châu,Tỉnh Bến Tre,Tỉnh Khánh Hòa,Tỉnh Bình Thuận,Tỉnh Cao Bằng,Thành phố Hải Phòng,Tỉnh Ninh Bình,Tỉnh Yên Bái,Tỉnh Gia Lai,Tỉnh Hoà Bình,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh Cà Mau,Tỉnh Bình Dương,Thành phố Cần Thơ,Tỉnh Thừa Thiên Huế,Tỉnh Đồng Nai,Tỉnh Tiền Giang,Tỉnh Điện Biên,Tỉnh Vĩnh Phúc,Tỉnh Quảng Nam,Tỉnh Đắk Lắk,Tỉnh Thái Nguyên,Tỉnh Hải Dương,Tỉnh Bạc Liêu,Tỉnh Trà Vinh,Tỉnh Thái Bình,Tỉnh Hà Tĩnh,Tỉnh Ninh Thuận,Tỉnh Đồng Tháp,Tỉnh Long An,Tỉnh Hậu Giang,Tỉnh Quảng Ninh,Tỉnh Phú Thọ,Tỉnh Quảng Bình,Thành phố Hồ Chí Minh,Tỉnh Hà Nam,Tỉnh Bắc Ninh,Tỉnh Bắc Giang,Tỉnh Bắc Kạn
code,89,62,67,94,70,33,38,45,08,51,01,10,86,68,52,40,91,02,54,20,48,14,72,36,12,83,56,60,04,31,37,15,64,17,77,96,74,92,46,75,82,11,26,49,66,19,30,95,84,34,42,58,87,80,93,22,25,44,79,35,27,24,06
